Date,Text_Description
2026/05/23,"今日は15:57頃まで月が獅子座の終盤を進み、前日朝から続く長いボイドタイムの中で始まります。午前から午後前半は、目立つ動きや大きな決定を急ぐより、表現の見直し、予定の再確認、気持ちの整理に向いています。3:02頃には水星と土星の調和がピークとなり、言葉を現実的な計画へ落とし込む力は強まります。月が乙女座へ入ると空気は実務的になり、散らばった情報を分類し、細部を整える流れへ切り替わります。18:45頃の月と天王星の緊張は予定変更や急なひらめきを呼びやすく、20:10頃には月と太陽の緊張がピークとなる上弦の月で、やるべきことと見せ方のズレが見えやすくなります。22:12頃の月と火星の調和は、気づいた修正点を実際に手を動かして直す追い風です。昨日の長い余白から、今日は夕方以降に具体的な改善へ戻る星模様です。"
2026/05/24,"今日は月が乙女座を進み、細部の確認、健康管理、資料整理、作業環境の調整に意識が向きやすい日です。2:00頃には月と金星の調和がピークとなり、早朝は身近な人への気配りや暮らしを整える感覚が穏やかに働きます。日中は太陽と水星が双子座にあり、情報量や会話のスピードは速い一方、月乙女座は正確さと実用性を求めます。19:05頃には月と水星の緊張がピークとなり、考えすぎ、言葉の細かさ、確認事項の増えすぎが出やすい時間帯です。大事な連絡は短く要点をまとめ、数字や条件は一度見直すと安全です。昨日の上弦で見えたズレを、今日は感情論にせず実務の形で修正する流れです。逆行や順行への大きな切り替わりはなく、冥王星逆行は背景として、不要なこだわりを静かに削る働きを添えます。"
2026/05/25,"今日は月が乙女座を進み、午前中は整える力が強く働きます。9:54頃に月と木星の調和がピークとなり、実務、健康管理、生活の改善、周囲へのサポートに前向きな広がりが出やすい時間帯です。その後は23:34頃に月が天秤座へ入るまで長いボイドタイムとなるため、昼以降は新規の大きな約束や条件確定を急がず、確認、調整、保留を優先すると安全です。11:22頃には太陽と海王星の調和がピークとなり、想像力、共感、やわらかな言葉が広がりますが、ボイド中でもあるため、理想をすぐ現実の契約にせず、メモや構想として温めるのが向いています。夜遅くに月が天秤座へ入ると、対話、バランス、人との距離感へ空気が切り替わります。昨日の細かな確認モードから、今日は午前に整え、午後は余白を持って次の関係性へ橋をかける星模様です。"
2026/05/26,"今日は月が天秤座を進み、昨日夜のサイン移動から対話、調整、バランス感覚へ意識が移ります。2:48頃に月と天王星、8:41頃に月と太陽、9:56頃に月と冥王星が調和し、午前は発想の切り替え、会話の噛み合い、集中して本質を見抜く力が重なります。午後は13:01頃に火星と冥王星の緊張がピークとなり、力で押し切りたい衝動や頑固さが出やすい配置です。16:08頃には月と金星も緊張するため、対人面では気を使いすぎたり、期待と現実の差に敏感になったりしやすくなります。昨日の乙女座的な整理から、今日は人との距離感を見ながら整える流れです。太陽、水星、金星、火星は順行で、冥王星逆行は背景として、強い反応の奥にある本音を見直す働きを添えます。"
2026/05/27,"今日は月が天秤座を進み、対話や調整を続けながら、情報をきれいにまとめていく日です。0:52頃には太陽と冥王星の調和がピークとなり、表面的な会話よりも、本質を押さえた判断や深い見直しに力が入ります。15:10頃には月と水星が調和し、連絡、相談、文章化、条件のすり合わせが進みやすい時間帯です。一方で20:32頃には月と木星の緊張がピークとなり、その後は翌28日9:52頃の月の蠍座入りまでボイドタイムに入ります。夜は期待を広げすぎたり、安請け合いをしたりしやすいため、大きな約束は一晩置くのが安全です。昨日の人間関係の調整ムードから、今日は言葉で整え、夜は余白を持って判断を寝かせる星模様です。"
2026/05/28,"今日は9:52頃まで月が天秤座のボイドタイムにあり、朝は大きな決定より、前夜の会話や予定を静かに確認するのに向いています。月が蠍座へ入ると空気は深まり、表面的なバランスよりも本音、集中、関係の濃さへ意識が移ります。日中は太陽と水星が双子座にあり、情報は軽く速く動きますが、月蠍座は曖昧なまま流すことを好みません。20:34頃には月と冥王星の緊張がピークとなり、こだわり、不安、相手の反応への敏感さが強まりやすい時間帯です。無理に結論を迫るより、必要な境界線を静かに確認すると安定します。昨日夜のボイドで広がった期待を、今日は深く見直し、軽い言葉の奥にある本音を扱う流れです。"
2026/05/29,"今日は月が蠍座を進み、集中力と洞察力が強まりやすい日です。9:25頃には月と金星の調和がピークとなり、深い信頼、親密な会話、身近な人への思いやりが自然に出やすくなります。一方で12:02頃には金星と土星の緊張がピークとなり、愛情、安心感、お金、住まいに関するテーマで責任や制限を感じやすい配置です。日中は気持ちを試すような言い方を避け、必要な条件を淡々と確認するほうが関係は安定します。昨日の蠍座入りで深まった本音の流れを、今日は信頼と現実的な責任の両方から整える日です。逆行や順行への大きな切り替わりはなく、冥王星逆行は背景として、執着を手放すための内省を促します。"
2026/05/30,"今日は月が蠍座の後半を進み、午前中は深く集中して物事を整える力が続きます。9:04頃に月と木星の調和がピークとなり、信頼、保護、支援、心の回復につながる流れが広がります。その後は21:44頃に月が射手座へ入るまでボイドタイムとなるため、昼以降は新しい決定や大きな約束を急がず、午前中に得た気づきを整理するのが安全です。夜に月が射手座へ入ると、重さは少し抜け、学び、移動、未来への視野へ空気が切り替わります。昨日の金星と土星の緊張で見えた現実的な課題を、今日は無理に押し広げず、心の中で消化する日です。太陽と水星は双子座にあり、情報の軽さはありますが、ボイド中は勢いだけの発信より下書きや確認に向きます。"
2026/05/31,"今日は17:45頃に射手座で満月を迎え、ここ数日の確認や調整が一つの見通しへまとまりやすい日です。太陽と水星は双子座にあり、身近な情報、会話、選択肢が増える一方、月射手座の満月は細部だけでなく、大きな方向性、学び、信念、未来への展望を照らします。5:52頃には月と海王星、8:34頃には月と冥王星が調和し、朝は直感や深い気づきが入りやすい時間帯です。日中は情報を集めるだけで終わらせず、自分が何を信じ、どこへ向かいたいのかを言葉にすると満月の力を使いやすくなります。22:21頃には月と土星の調和がピークとなり、その後は次の月サイン入りまでボイドタイムに入ります。夜は広がった視野を現実的な計画へ落とし込み、無理な約束を増やさず、必要な一歩を選び直すのが向いています。"
2026/06/01,"今日は前日の射手座満月の余韻が残り、広がった視野や気づきをすぐ結論にせず、いったん整理する流れです。月は射手座を進みますが、前夜22:21頃から翌2日10:19頃まで長いボイドタイムに入っているため、今日は大きな決定や新規の約束より、振り返り、下調べ、保留、言葉の整理に向いています。20:55頃には水星が双子座から蟹座へ入り、情報を速く集めるモードから、気持ちや身近な人の事情を汲み取るコミュニケーションへ切り替わります。満月で見えた大きなテーマを、今日は勢いで外へ広げるより、自分の生活や安心できる関係の中へ持ち帰る日です。返事や判断は急がず、明日以降に形にする余白を残すと安定します。"
2026/06/02,"今日は10:19頃まで月が射手座のボイドタイムにあり、朝は昨日からの満月後の余韻を整理する時間です。月が山羊座へ入ると空気は現実的になり、広がった理想を予定、責任、手順へ落とし込む流れに切り替わります。前夜に水星が蟹座へ入ったことで、言葉は少し感情や身近な事情に寄り添いやすくなっています。18:35頃には月と海王星の緊張がピークとなり、夕方以降は曖昧な期待や疲れが出やすい時間帯です。大事な確認は具体的な数字、日程、役割まで落とすと安全です。昨日の長いボイドで決めきれなかったことを、今日は焦らず現実的な順番に並べ直す星模様です。"
2026/06/03,"今日は月が山羊座を進み、満月後に見えたテーマを実務や責任の形へ整える日です。7:48頃には太陽と土星の調和がピークとなり、計画、締切、役割分担、長く続けるための骨組みを作りやすくなります。9:02頃には月と火星が調和し、午前は手を動かして片づける力も出ます。一方で11:25頃には月と土星の緊張がピークとなり、その後は翌4日22:45頃の月の水瓶座入りまで長いボイドタイムに入ります。昼以降は新しい決定を増やすより、既に決めたことの確認、修正、不要な負担の切り分けに向きます。昨日の感情を汲む流れから、今日は現実的に続けられる形だけを残すと安定します。"
2026/06/04,"今日は月が山羊座の終盤を進み、前日昼前から続く長いボイドタイムの中で過ごす日です。22:45頃に月が水瓶座へ入るまで、大きな確定や新規の約束は急がず、未整理のタスクを閉じる、資料を見直す、責任範囲を確認することに向いています。9:18頃には水星と海王星の緊張がピークとなり、連絡、説明、思い込み、聞き間違いが曖昧になりやすい配置です。特に午前は、雰囲気で判断せず、必要なことを短く書き出して確認すると安全です。夜に月が水瓶座へ入ると、空気は少し軽くなり、客観性や新しい視点が戻ります。今日は前へ押す日というより、満月後に浮かんだ課題を静かに整える調整日です。"
2026/06/05,"今日は月が水瓶座を進み、昨日までの重い確認作業から、少し距離を取って全体を眺める流れに変わります。3:18頃に月と天王星、7:00頃に月と海王星が調和し、朝はひらめき、直感、別の見方を取り入れやすい時間帯です。日中は双子座の太陽が情報交換を促し、水瓶座の月が客観性や仲間との共有を後押しします。23:50頃には月と土星の調和がピークとなり、夜は自由な発想を現実的な計画へ落とし込みやすくなります。昨日のボイドと水星-海王星の曖昧さを抜け、今日は一歩引いて見直すことで、使えるアイデアが残りやすい星模様です。議論は感情的に詰めるより、仕組みやルールとして整理すると安定します。"
2026/06/06,"今日は月が水瓶座を進み、自由な発想と客観的な視点が続きます。0:59頃には月と火星の緊張がピークとなり、未明から朝にかけては反発心や焦りが出やすい配置です。4:50頃には月と太陽が調和し、満月後に広がったテーマを仲間、情報、未来の計画へつなげる流れが整います。ただしその後は翌7日9:42頃の月の魚座入りまでボイドタイムに入るため、日中は新しい決定より、下書き、検証、意見の整理に向いています。勢いで発信したくなっても、一度見直してから出すと安全です。昨日のひらめきを、今日はすぐ確定せず、どの形なら続けられるかを試す余白として扱うと良い日です。"
2026/06/07,"今日は9:42頃まで月が水瓶座のボイドタイムにあり、朝は予定や考えを詰め込みすぎず、静かに整えるのが向いています。月が魚座へ入ると空気はやわらぎ、理屈や効率だけでなく、感情、共感、想像力へ意識が移ります。14:21頃には月と天王星の緊張がピークとなり、午後は急な予定変更、気分の揺れ、思いつきの方向転換が起こりやすい時間帯です。無理に一つの答えへ固定するより、必要な変更を受け入れながら、疲れた部分を休ませるほうが流れに合います。昨日までの水瓶座的な客観性から、今日は少し感覚をほどき、次の週へ向けて心身を整える星模様です。大事な連絡は、事実確認と相手への配慮を両方入れると安定します。"
2026/06/08,"今日は月が魚座を進み、感情、直感、想像力を通して物事を受け取りやすい日です。4:14頃には月と水星が調和し、朝は気持ちを言葉にする、相談する、記録を残すことが進みやすくなります。14:16頃には月と火星が調和し、午後はやさしい気づきを実際の行動へ移しやすい時間帯です。19:00頃には魚座の月と双子座の太陽が緊張し、下弦の月を迎えます。満月で広がったテーマを、ここから削ぎ落とし、必要な情報と本当に大事な感覚を選び直す流れです。考えすぎと感じすぎの間で揺れやすいので、夜は予定を詰め込まず、振り返りと休息を優先すると整います。"
2026/06/09,"今日は月が魚座の後半を進み、午前中はやわらかな共感や癒しの流れが強まります。8:04頃に月と金星、9:38頃に月と木星が調和し、人との温かいやり取り、安心感、気持ちをゆるめる時間に追い風があります。その後は17:33頃に月が牡羊座へ入るまでボイドタイムとなるため、昼以降は大きな確定より、余韻を味わいながら整理するのが安全です。月が牡羊座へ入ると空気は一気に能動的になり、22:07頃には月と天王星が調和して、ひらめきや方向転換の感覚が出てきます。昨日の下弦の月で見えた不要なものを、今日はやさしく手放し、夕方以降に次の一歩へ切り替える星模様です。"
2026/06/10,"今日は月が牡羊座を進み、昨日夕方からの能動的な流れが続きます。2:55頃には月と冥王星が調和し、早朝は集中力や本音を見抜く力が働きます。14:38頃には水星と土星の緊張がピークとなり、連絡、説明、書類、スケジュールで制限や重さを感じやすい配置です。16:40頃には月と水星も緊張し、焦って言い切る、相手の言葉を硬く受け取る、といった反応が出やすくなります。今日は勢いで突破するより、言葉を短く正確にし、必要な確認を省かないことが大切です。昨日の切り替えで出てきた行動力を、現実的なルールや段取りに合わせて調整すると安定します。"
2026/06/11,"今日は月が牡羊座の終盤を進み、前へ進みたい気持ちが強く出やすい日です。4:28頃には月と太陽が調和し、朝は目的意識と行動が噛み合いやすくなります。ただし午後は14:51頃に月と木星、17:22頃に月と金星が緊張し、勢いで約束を広げすぎたり、対人面で期待が膨らみすぎたりしやすい時間帯です。17:22頃から21:28頃に月が牡牛座へ入るまではボイドタイムとなるため、夕方以降の大きな決定は急がず、確認と保留を優先すると安全です。夜に月が牡牛座へ入ると、空気は落ち着き、体感、生活、金銭感覚を整える流れへ切り替わります。"
2026/06/12,"今日は月が牡牛座を進み、昨日までの勢いをいったん落ち着かせ、生活の手触りや安定感を取り戻す日です。6:07頃には月と冥王星の緊張がピークとなり、朝はこだわりや不安が強まりやすい一方、不要なものを見極める力も出ます。日中は太陽が双子座、水星が蟹座にあり、情報を集めながらも、身近な安心や実感を大切にしたい流れです。23:26頃には月と水星が調和し、夜は気持ちを落ち着いて言葉にする、家族や身近な人と確認する、予定を実用的に整えることに向いています。昨日の牡羊座的な急ぎ足から、今日は焦らず続けられる形へ整える星模様です。"
2026/06/13,"今日は月が牡牛座の後半を進み、日中は落ち着いて生活や実務を整える流れです。16:30頃には月と木星が調和し、安心感、支援、食事や休息から満たされる感覚が広がります。その後は22:06頃に月が双子座へ入るまでボイドタイムとなるため、夕方以降の大きな決定は急がず、余裕を持って確認するのが安全です。19:46頃には金星が蟹座から獅子座へ入り、身近な安心を守る愛情表現から、楽しさ、自己表現、喜びを見せる流れへ切り替わります。22:17頃には月と金星が調和し、夜は会話や軽い交流に明るさが戻ります。昨日の安定重視の流れから、今日は夜に向けて少し華やかで外向きな空気へ移る星模様です。"
